LogNum,host,status,logTime,CCN_STATUS,VerifyValue,Name
 9882,gumstix interface,INFO    ,9.74093604088,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/630000
 9956,gumstix interface,INFO    ,9.81570386887,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/750000
10023,gumstix interface,INFO    ,9.89050292969,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/6c0000
10100,gumstix interface,INFO    ,9.95755004883,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/6f0000
10179,gumstix interface,INFO    ,10.0339050293,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/450000
10255,gumstix interface,INFO    ,10.1135859489,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/510000
10330,gumstix interface,INFO    ,10.1888120174,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/720000
10397,gumstix interface,INFO    ,10.255797863,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/5d0000
10472,gumstix interface,INFO    ,10.330657959,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/570000
10538,gumstix interface,INFO    ,10.3977048397,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/540000
10614,gumstix interface,INFO    ,10.472563982,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/780000
10689,gumstix interface,INFO    ,10.5478210449,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/660000
10756,gumstix interface,INFO    ,10.6148979664,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/690000
10831,gumstix interface,INFO    ,10.6900629997,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/900000
10907,gumstix interface,INFO    ,10.7654109001,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/5a0000
10974,gumstix interface,INFO    ,10.8332209587,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/870000
11050,gumstix interface,INFO    ,10.9085688591,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/600000
11117,gumstix interface,INFO    ,10.9755549431,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/7b0000
11194,gumstix interface,INFO    ,11.0507810116,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/810000
11269,gumstix interface,INFO    ,11.1279599667,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/8d0000
11345,gumstix interface,INFO    ,11.2033689022,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/960000
11412,gumstix interface,INFO    ,11.2707519531,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/7e0000
11480,gumstix interface,INFO    ,11.3460390568,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/930000
11547,gumstix interface,INFO    ,11.4140930176,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/840000
11623,gumstix interface,INFO    ,11.4810788631,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/8a0000
11697,gumstix interface,INFO    ,11.5567929745,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/b10000
11765,gumstix interface,INFO    ,11.6235039234,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/990000
11839,gumstix interface,INFO    ,11.6985778809,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/a20000
11906,gumstix interface,INFO    ,11.7732849121,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/d20000
11981,gumstix interface,INFO    ,11.8400268555,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/b70000
12055,gumstix interface,INFO    ,11.9147028923,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/9f0000
12122,gumstix interface,INFO    ,11.9814448357,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/a80000
12205,gumstix interface,INFO    ,12.064360857,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/c60000
12264,gumstix interface,INFO    ,12.1311638355,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/cf0000
12340,gumstix interface,INFO    ,12.198456049,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/bd0000
12406,gumstix interface,INFO    ,12.2735290527,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/ba0000
12501,gumstix interface,INFO    ,12.3402709961,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/a50000
12560,gumstix interface,INFO    ,12.427489996,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/ab0000
12641,gumstix interface,INFO    ,12.5025629997,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/c30000
12708,gumstix interface,INFO    ,12.5672609806,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/f90000
12774,gumstix interface,INFO    ,12.6420588493,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/9c0000
12856,gumstix interface,INFO    ,12.7154839039,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/c90000
12931,gumstix interface,INFO    ,12.7902519703,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/fc0000
12998,gumstix interface,INFO    ,12.8569028378,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/c00000
13073,gumstix interface,INFO    ,12.9315788746,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/f30000
13140,gumstix interface,INFO    ,12.9987180233,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/ae0000
13214,gumstix interface,INFO    ,13.0735168457,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/e10000
13281,gumstix interface,INFO    ,13.148223877,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/000300
13356,gumstix interface,INFO    ,13.2149350643,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/001b00
13430,gumstix interface,INFO    ,13.2897639275,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/d50000
13497,gumstix interface,INFO    ,13.3564150333,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/b40000
13572,gumstix interface,INFO    ,13.4311518669,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/f60000
13644,gumstix interface,INFO    ,13.4981689453,CONTENT_PUT,ok,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/002a00
