   83,gumstix interface,INFO    ,1326617815.31,CCN_RUN_START, , 
 2340,gumstix interface,INFO    ,2.25698781013,NC_VERIFY,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/120000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%28%BD%07%00%07%00%00%00%00%00%00%00%8B%CB~%91m9%D2l%D2%81%BC%07%BC%FE%02%3FG%12%AC%800%9A%9AX%05%D6%C6%A2HT%C2%86
 2380,gumstix interface,INFO    ,2.2618098259,CONTENT_PUT,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/120000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%28%BD%07%00%07%00%00%00%00%00%00%00%8B%CB~%91m9%D2l%D2%81%BC%07%BC%FE%02%3FG%12%AC%800%9A%9AX%05%D6%C6%A2HT%C2%86
 2387,gumstix interface,INFO    ,2.30309987068,NC_VERIFY,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/0f0000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%9E%B6%07%00%06%00%00%00%00%00%00%00Vl%F3%8C%3A%F0%93%A1%9Ak%CE%21dk%EF.%A29%9D%F6%DF%E5%99%8E%D4%EA%D9%8985%F8S
 2425,gumstix interface,INFO    ,2.3079829216,CONTENT_PUT,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/0f0000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%9E%B6%07%00%06%00%00%00%00%00%00%00Vl%F3%8C%3A%F0%93%A1%9Ak%CE%21dk%EF.%A29%9D%F6%DF%E5%99%8E%D4%EA%D9%8985%F8S
 2432,gumstix interface,INFO    ,2.34829688072,NC_VERIFY,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/150000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%D5%C4%07%00%08%00%00%00%00%00%00%00%2F%94%8F%97%ECT%00%E6%F3%80%18%FE%07%8F%1E%01c%BF%FB%80%83-R%29b%DAa%98pG%E1%DA
 2472,gumstix interface,INFO    ,2.35375881195,CONTENT_PUT,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/150000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%D5%C4%07%00%08%00%00%00%00%00%00%00%2F%94%8F%97%ECT%00%E6%F3%80%18%FE%07%8F%1E%01c%BF%FB%80%83-R%29b%DAa%98pG%E1%DA
 2480,gumstix interface,INFO    ,2.3961789608,NC_VERIFY,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/1b0000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%B4%D2%07%00%0A%00%00%00%00%00%00%00%078%DE%B5%26%B9xT%95%05%FC%16m%17%C2%FF0%0F3%29i%86%CB%3A%A1%CA%00Q%3C%3A%16m
 2519,gumstix interface,INFO    ,2.40130591393,CONTENT_PUT,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/1b0000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%B4%D2%07%00%0A%00%00%00%00%00%00%00%078%DE%B5%26%B9xT%95%05%FC%16m%17%C2%FF0%0F3%29i%86%CB%3A%A1%CA%00Q%3C%3A%16m
 2526,gumstix interface,INFO    ,2.44268798828,NC_VERIFY,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/1e0000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%FB%D9%07%00%0B%00%00%00%00%00%00%00P%D6%2C%18X%C7bB%C0%9D%E7%A5%E5%13%C2%40%1E%A1%1AT%D1D%E7%13%1D%D8K.e%DC%FC%2F
 2566,gumstix interface,INFO    ,2.44778394699,CONTENT_PUT,True,/ndn/ucla.edu/apps/lighting/TV1/living-room-left/setRGB/1e0000/%01%E2%01%DA%0A%950%81%9F0%0D%06%09%2A%86H%86%F7%0D%01%01%01%05%00%03%81%8D%000%81%89%02%81%81%00%D8%8E%5E%9F%27b%DF4%FC%A9M%F0%D3c%97%F9%20%D8%D7%8E%C2%CC%F2yp%A5%5B%FF%F8X_%212yiu%8E%B91%0C%F9W%D3S%9C%9E%0A%C6%7C%7D%E2O%AE%F32%15E%BCc%E1%B3%C3x%85%DD%8E%0B7%AB%D6%DC%0D%AD5%7F%28v%5CE%81%98%BC%ED%3CSm%FD%F7%5B_%0B%B3%0Dac%DC%B2%AA%E4%3F%D3%09%ACt%ABp%9Cg9%83Q%40sv%C2%AC%3A%88%9Fs0%FD%E2z%24%18%3F%2B%02%03%01%00%01%00%00/%40%96%1CQ%00%11borges%20controller%01%CF9O%FB%D9%07%00%0B%00%00%00%00%00%00%00P%D6%2C%18X%C7bB%C0%9D%E7%A5%E5%13%C2%40%1E%A1%1AT%D1D%E7%13%1D%D8K.e%DC%FC%2F
