top 10 cumulative:
Thu Oct 27 15:33:46 2011    sequencer.profile
        1    0.000    0.000    0.000    0.000 NameCrypto.py:9(new_state)
        2    0.000    0.000    0.000    0.000 UserDict.py:18(__getitem__)
       14    0.000    0.000    0.000    0.000 UserDict.py:58(get)
       16    0.000    0.000    0.000    0.000 UserDict.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:104(CFunctionType)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.016    0.016 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:159(py_object)
        1    0.002    0.002    0.009    0.009 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:275(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:278(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:320(CDLL)
        3    0.000    0.000    0.000    0.000 __init__.py:337(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:347(_FuncPtr)
        4    0.000    0.000    0.000    0.000 __init__.py:363(__getattr__)
        4    0.000    0.000    0.000    0.000 __init__.py:370(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:376(PyDLL)
        1    0.001    0.001    0.002    0.002 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:416(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:417(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:434(BSON)
        3    0.000    0.000    0.000    0.000 __init__.py:483(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:484(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.001    0.001    0.001    0.001 __init__.py:8(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:99(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:22(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:45(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _threading_local.py:134(<module>)
        1    0.000    0.000    0.000    0.000 _threading_local.py:148(_localbase)
        1    0.000    0.000    0.000    0.000 _threading_local.py:186(local)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 binary.py:16(<module>)
        1    0.000    0.000    0.000    0.000 binary.py:64(Binary)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:132(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:138(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:21(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:255(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:28(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:372(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:484(TimeEncoding)
        1    0.000    0.000    0.000    0.000 calendar.py:496(LocaleTextCalendar)
        2    0.000    0.000    0.000    0.000 calendar.py:52(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:531(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
        2    0.000    0.000    0.000    0.000 calendar.py:71(__init__)
        1    0.000    0.000    0.000    0.000 code.py:16(<module>)
        1    0.000    0.000    0.000    0.000 code.py:19(Code)
        1    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
       56    0.000    0.000    0.000    0.000 collection.py:143(full_name)
        1    0.000    0.000    0.001    0.001 collection.py:15(<module>)
       41    0.000    0.000    0.000    0.000 collection.py:154(name)
      319    0.000    0.000    0.000    0.000 collection.py:163(database)
        1    0.000    0.000    0.000    0.000 collection.py:36(Collection)
       43    0.001    0.000    0.001    0.000 collection.py:40(__init__)
       42    0.000    0.000    0.043    0.001 collection.py:455(find_one)
       69    0.000    0.000    0.001    0.000 collection.py:490(find)
        1    0.001    0.001    0.002    0.002 collections.py:1(<module>)
        2    0.001    0.001    0.001    0.001 collections.py:237(namedtuple)
        1    0.000    0.000    0.000    0.000 collections.py:25(OrderedDict)
       99    0.000    0.000    0.000    0.000 collections.py:277(<genexpr>)
       13    0.000    0.000    0.000    0.000 collections.py:294(<genexpr>)
        1    0.000    0.000    0.000    0.000 collections.py:355(Counter)
        1    0.000    0.000    0.000    0.000 commands.py:20(<module>)
       46    0.000    0.000    0.001    0.000 common.py:102(__init__)
       46    0.000    0.000    0.001    0.000 common.py:121(_set_options)
      114    0.000    0.000    0.000    0.000 common.py:136(__get_slave_okay)
       45    0.000    0.000    0.000    0.000 common.py:143(__set_slave_okay)
       45    0.000    0.000    0.000    0.000 common.py:149(__get_safe)
       45    0.000    0.000    0.000    0.000 common.py:156(__set_safe)
        1    0.000    0.000    0.010    0.010 common.py:16(<module>)
       45    0.000    0.000    0.000    0.000 common.py:162(get_lasterror_options)
       90    0.000    0.000    0.000    0.000 common.py:26(validate_boolean)
        1    0.000    0.000    0.000    0.000 common.py:95(BaseObject)
        2    0.000    0.000    0.000    0.000 connection.py:100(__init__)
        1    0.000    0.000    0.001    0.001 connection.py:107(connect)
       56    0.000    0.000    0.001    0.000 connection.py:128(get_socket)
        1    0.000    0.000    0.000    0.000 connection.py:150(return_socket)
        1    0.000    0.000    0.000    0.000 connection.py:162(Connection)
        1    0.000    0.000    0.003    0.003 connection.py:171(__init__)
        1    0.001    0.001    0.016    0.016 connection.py:34(<module>)
       83    0.000    0.000    0.000    0.000 connection.py:487(get_document_class)
       83    0.000    0.000    0.000    0.000 connection.py:500(tz_aware)
        1    0.000    0.000    0.003    0.003 connection.py:519(__try_node)
        1    0.000    0.000    0.003    0.003 connection.py:564(__find_node)
       56    0.000    0.000    0.002    0.000 connection.py:606(__socket)
