top 10 cumulative:
Mon Jan 16 00:48:00 2012    symm_interface_0.profile

         1024843 function calls (878574 primitive calls) in 135.615 seconds

   Ordered by: cumulative time
   List reduced from 323 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2612    0.188    0.000    2.168    0.001 Name.py:90(append)
        1    0.000    0.000    0.000    0.000 NameCrypto.py:12(generate_application_key)
     2611    0.191    0.000    1.208    0.000 NameCrypto.py:27(verify_command)
        1    0.000    0.000    0.000    0.000 NameCrypto.py:7(<module>)
     3738    0.065    0.000    0.112    0.000 NameCrypto.py:9(new_state)
        1    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1036(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1077(Logger)
        2    0.000    0.000    0.000    0.000 __init__.py:1092(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1104(setLevel)
     5228    0.460    0.000   21.866    0.004 __init__.py:1122(info)
     5228    0.454    0.000    0.766    0.000 __init__.py:1197(findCaller)
     5228    0.248    0.000    3.672    0.001 __init__.py:1218(makeRecord)
     5228    0.452    0.000   21.154    0.004 __init__.py:1231(_log)
     5228    0.261    0.000   16.263    0.003 __init__.py:1252(handle)
        1    0.000    0.000    0.000    0.000 __init__.py:1262(addHandler)
     5228    0.420    0.000   15.890    0.003 __init__.py:1284(callHandlers)
     5228    0.075    0.000    0.075    0.000 __init__.py:1310(getEffectiveLevel)
     5228    0.177    0.000    0.252    0.000 __init__.py:1324(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:1351(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1357(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1365(LoggerAdapter)
     5228    0.251    0.000    0.304    0.000 __init__.py:153(getLevelName)
        1    0.000    0.000    0.001    0.001 __init__.py:1531(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1610(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1652(NullHandler)
        5    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
        4    0.000    0.000    0.001    0.000 __init__.py:210(_acquireLock)
        4    0.000    0.000    0.000    0.000 __init__.py:219(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:230(LogRecord)
        1    0.015    0.015    0.023    0.023 __init__.py:24(<module>)
     5228    1.827    0.000    3.424    0.001 __init__.py:242(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:346(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:390(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:490(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:532(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:569(Filterer)
        4    0.000    0.000    0.000    0.000 __init__.py:574(__init__)
    15684    0.248    0.000    0.248    0.000 __init__.py:594(filter)
        2    0.000    0.000    0.001    0.000 __init__.py:631(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:641(Handler)
        2    0.000    0.000    0.001    0.001 __init__.py:650(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:679(createLock)
    10456    0.315    0.000    1.408    0.000 __init__.py:688(acquire)
    10456    0.288    0.000    1.212    0.000 __init__.py:695(release)
10456/5228    1.024    0.000   15.469    0.003 __init__.py:731(handle)
        1    0.084    0.084    0.222    0.222 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:805(StreamHandler)
     5228    0.119    0.000    0.232    0.000 __init__.py:81(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:872(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:932(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:979(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:984(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:994(getLogger)
        1    0.001    0.001    0.001    0.001 _threading_local.py:134(<module>)
        1    0.000    0.000    0.000    0.000 _threading_local.py:148(_localbase)
        1    0.000    0.000    0.000    0.000 _threading_local.py:186(local)
        1    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.007    0.007    0.009    0.009 base64.py:3(<module>)
        1    0.002    0.002    0.002    0.002 bisect.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cProfile.py:5(<module>)
        1    0.000    0.000    0.000    0.000 cProfile.py:66(Profile)
        1    0.007    0.007    0.016    0.016 collections.py:1(<module>)
        1    0.001    0.001    0.001    0.001 collections.py:25(OrderedDict)
        1    0.000    0.000    0.000    0.000 collections.py:355(Counter)
    13059    0.394    0.000    0.394    0.000 copy.py:113(_copy_with_constructor)
    13059    0.514    0.000    1.002    0.000 copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 dummy_thread.py:118(__exit__)
        4    0.000    0.000    0.000    0.000 dummy_thread.py:121(release)
        1    0.001    0.001    0.001    0.001 dummy_thread.py:13(<module>)
        1    0.000    0.000    0.000    0.000 dummy_thread.py:21(error)
        2    0.000    0.000    0.000    0.000 dummy_thread.py:62(get_ident)
        4    0.000    0.000    0.000    0.000 dummy_thread.py:71(allocate_lock)
        1    0.000    0.000    0.000    0.000 dummy_thread.py:81(LockType)
        4    0.000    0.000    0.000    0.000 dummy_thread.py:92(__init__)
        5    0.000    0.000    0.000    0.000 dummy_thread.py:95(acquire)
        1    0.007    0.007    0.046    0.046 dummy_threading.py:8(<module>)
     5228    0.281    0.000    0.408    0.000 genericpath.py:85(_splitext)
        1    0.000    0.000    0.000    0.000 handlers.py:1059(BufferingHandler)
        1    0.000    0.000    0.001    0.001 handlers.py:1065(__init__)
     5228    0.271    0.000   13.713    0.003 handlers.py:1082(emit)
        1    0.000    0.000    0.000    0.000 handlers.py:1110(MemoryHandler)
        1    0.000    0.000    0.001    0.001 handlers.py:1116(__init__)
     5228    0.140    0.000    0.172    0.000 handlers.py:1128(shouldFlush)
     5228    0.301    0.000   13.214    0.003 handlers.py:1141(flush)
        1    0.000    0.000    0.000    0.000 handlers.py:162(TimedRotatingFileHandler)
        1    0.012    0.012    0.013    0.013 handlers.py:25(<module>)
        1    0.000    0.000    0.000    0.000 handlers.py:365(WatchedFileHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:416(SocketHandler)
        1    0.000    0.000    0.001    0.001 handlers.py:429(__init__)
        3    0.001    0.000    1.138    0.379 handlers.py:450(makeSocket)
        3    0.000    0.000    1.139    0.380 handlers.py:461(createSocket)
     5228    0.380    0.000    8.196    0.002 handlers.py:489(send)
     5228    0.397    0.000    2.429    0.000 handlers.py:516(makePickle)
        1    0.000    0.000    0.000    0.000 handlers.py:53(BaseRotatingHandler)
     5228    0.263    0.000   10.888    0.002 handlers.py:545(emit)
        1    0.000    0.000    0.000    0.000 handlers.py:571(DatagramHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:609(SysLogHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:820(SMTPHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:85(RotatingFileHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:897(NTEventLogHandler)
        1    0.000    0.000    0.000    0.000 handlers.py:997(HTTPHandler)
        1    0.003    0.003    0.003    0.003 hashlib.py:55(<module>)
        6    0.000    0.000    0.001    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.007    0.007    0.009    0.009 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 interface_cfg.py:6(<module>)
